,Team Payroll,Season Wins
311,41979917.0,79
312,35504167.0,76
313,20072000.0,79
314,14650000.0,64
315,124755400.0,89
316,83827856.0,96
317,49143998.0,86
318,57073313.0,73
319,86473611.0,68
320,103844806.0,82
321,70893444.0,74
322,97653944.0,83
323,85497333.0,96
324,81108279.0,77
325,80182502.0,80
326,81004167.0,90
327,70986500.0,83
328,57568333.0,75
329,39934833.0,81
330,27518500.0,67
331,40627000.0,68
332,50287833.0,56
333,43089333.0,68
334,36505333.0,73
335,42976575.0,74
336,121276933.0,101
337,129560000.0,78
338,94287500.0,85
339,96283200.0,59
340,103095000.0,83
341,85776500.0,70
342,69780000.0,66
343,94085000.0,66
344,112737000.0,63
345,97559167.0,94
346,65299266.0,87
347,62182767.0,88
348,71439500.0,79
349,63396006.0,96
350,56186000.0,83
351,53585000.0,92
352,55505000.0,90
353,40225000.0,94
354,24350000.0,85
355,16519500.0,69
356,15845000.0,63
357,158999270.0,86
358,166261459.0,77
359,169891596.0,70
360,130326379.0,87
361,91501507.0,90
362,89051758.0,79
363,68347948.0,74
364,93353983.0,74
365,118847309.0,77
366,132701445.0,79
367,149373987.0,70
368,138293378.0,89
369,115231663.0,88
370,101084963.0,97
371,101305821.0,83
372,100629303.0,71
373,117176620.0,66
374,94633593.0,75
375,93174428.0,82
376,79509776.0,94
377,71510523.0,97
378,208084848.0,103
379,161305917.0,100
380,171746342.0,91
381,203354935.0,84
382,192687142.0,87
383,203812506.0,84
384,182832190.0,85
385,197962289.0,95
386,202689028.0,97
387,206333389.0,95
388,201449189.0,103
389,209081579.0,89
390,189639045.0,94
391,194663079.0,97
392,208206817.0,95
393,182835513.0,101
394,152749814.0,101
395,125928583.0,103
396,109791893.0,95
397,92538260.0,87
398,91990955.0,98
399,92318333.0,97
400,62652500.0,97
401,69636667.0,75
402,75876234.0,69
403,69349166.0,68
404,83401400.0,88
405,39199500.0,96
406,55372500.0,94
407,66536500.0,74
408,51654900.0,81
409,62310000.0,75
410,47967126.0,75
411,79366940.0,76
412,62243079.0,93
413,55425762.0,88
414,59825167.0,91
415,50260834.0,96
416,39679746.0,103
417,33810750.0,102
418,31971333.0,91
419,25208858.0,87
420,140711962.0,81
421,74688166.0,80
422,86513378.0,66
423,45462000.0,71
424,107540000.0,63
425,180052723.0,73
426,144895714.0,73
427,174538938.0,81
428,172976379.0,102
429,141927381.0,97
430,113004046.0,93
431,98269881.0,92
432,89428213.0,89
433,88273333.0,85
434,95522000.0,88
435,93219167.0,86
436,70780000.0,86
437,57955000.0,80
438,41664167.0,86
439,47308000.0,65
440,30441500.0,77
441,76589154.0,69
442,81335833.0,82
443,96133666.0,75
444,101249666.0,78
445,84706665.0,98
446,78111667.0,88
447,77554000.0,94
448,63431999.0,79
449,45047000.0,72
450,34943000.0,57
451,48693001.0,62
452,49365283.0,67
453,38537833.0,68
454,46717750.0,67
455,38133000.0,67
456,32227929.0,72
457,54812429.0,75
458,42323598.0,72
459,52698333.0,62
460,28928333.0,69
461,23682420.0,78
462,99205017.0,70
463,73716532.0,66
464,32128066.0,71
465,89995814.0,68
466,121027794.0,74
467,90094196.0,77
468,62305200.0,76
469,55244700.0,76
470,45869140.0,71
471,37799300.0,90
472,43734200.0,75
473,73677617.0,63
474,58110567.0,89
475,69896141.0,88
476,63290833.0,82
477,54639503.0,87
478,47928000.0,64
479,41425000.0,66
480,38333117.0,79
481,54821000.0,76
482,46507179.0,74
483,178286222.0,77
484,184499166.0,73
485,134020166.0,64
486,126730166.0,87
487,124784832.0,84
488,154185878.0,88
489,104092501.0,76
490,117620683.0,94
491,118198333.0,86
492,97828833.0,92
493,82616450.0,88
494,76904500.0,72
495,90219056.0,71
496,90056419.0,76
497,90199500.0,75
498,82019167.0,91
499,82852167.0,100
500,78299835.0,95
501,63332667.0,90
502,53737826.0,97
503,45991934.0,86
504,150906143.0,68
505,165303943.0,89
506,118207720.0,78
507,99457243.0,86
508,91706842.0,76
509,92081943.0,87
510,60296043.0,71
511,81978100.0,75
512,86524600.0,67
513,98376667.0,61
514,98904166.0,85
515,117993982.0,61
516,106460833.0,88
